gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
MIR6859-1,8,4,3,1,1,6,4,4,12,2,6,3
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,1,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,13,18,5,10,6,9,0,0,0,0,1,0
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP21,18,25,13,8,6,10,8,3,7,7,7,9
RPL23AP24,0,5,1,1,2,0,0,0,2,0,1,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
LOC124904706,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,30,27,12,29,24,13,21,18,8,8,12,9
MTND2P28,353,481,217,239,196,257,356,250,256,316,270,385
MTCO1P12,1115,1521,1275,1248,899,1186,597,501,667,594,709,629
MTCO2P12,43,75,53,54,39,29,24,25,16,26,30,33
MTATP8P1,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P1,14654,16217,13807,15104,11811,12107,6545,4691,5549,6288,5499,7058
MTCO3P12,70,70,61,59,48,47,31,37,24,44,37,41
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,1
LINC01409,32,47,49,34,32,38,12,5,11,10,5,7
FAM87B,0,1,2,0,2,5,0,4,2,9,7,4
LINC01128,76,184,102,133,117,133,256,186,237,225,191,239
FAM41C,0,0,0,1,0,0,0,0,0,0,0,1
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0
LINC02593,0,7,2,0,0,1,142,107,112,194,96,74
SAMD11,4,24,12,1,0,1,449,332,352,575,308,210
NOC2L,1968,2956,2966,2561,2760,2978,2194,1963,2033,1745,1994,2194
KLHL17,101,74,115,142,86,96,227,144,265,195,286,242
PLEKHN1,10,10,17,28,27,42,77,47,89,89,121,134
PERM1,7,3,4,33,12,14,30,30,29,47,58,78
HES4,66,67,75,128,51,74,252,195,318,271,266,385
ISG15,131,169,114,200,131,110,657,572,694,955,872,887
AGRN,4442,7927,9402,5806,9469,10525,5238,4122,4224,6185,4339,4723
RNF223,0,0,2,1,2,2,1,0,0,0,0,0
C1orf159,288,378,306,450,442,395,214,173,203,193,256,233
LINC01342,0,0,1,3,0,0,0,0,0,0,0,0
MIR200B,0,0,0,1,0,1,0,0,0,0,0,0
MIR200A,1,2,0,0,1,0,0,0,0,0,0,0
MIR429,0,0,1,0,3,1,0,0,0,0,0,0
TTLL10-AS1,0,0,0,3,0,2,0,1,0,0,0,0
TTLL10,2,0,0,0,0,0,0,1,0,0,0,0
TNFRSF18,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF4,0,0,1,1,4,0,1,2,0,0,0,0
SDF4,2222,3937,3228,3530,3623,3425,4444,3914,4569,5388,4620,4632
B3GALT6,464,754,679,1106,1037,1004,1086,762,1055,1032,1098,1286
C1QTNF12,11,8,9,10,7,10,14,13,13,13,12,10
UBE2J2,642,1102,939,1173,1097,1001,1820,1441,1679,1245,1596,1625
SCNN1D,30,18,16,28,15,21,65,55,58,54,80,59
ACAP3,266,353,293,234,234,227,975,800,893,859,873,965
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,196,265,255,362,251,268,248,207,243,251,308,266
INTS11,1001,1554,1407,1430,1432,1399,1586,1311,1592,1292,1557,1573
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0
CPTP,340,530,427,636,505,548,588,494,641,614,631,714
TAS1R3,27,30,20,20,45,53,10,12,10,10,14,15
DVL1,1091,1011,1467,2545,2388,2801,3328,2696,3259,2604,3271,3515
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,35,21,48,68,63,59,6228,5101,4101,8506,4879,6816
AURKAIP1,2157,3266,2601,4055,2928,2983,2578,2481,2670,2324,2701,2708
NDUFB4P8,1,0,2,0,1,0,1,0,3,2,0,2
CCNL2,828,861,1004,1229,1178,1139,1919,1255,2010,1157,1918,1584
MRPL20-AS1,310,587,502,433,524,455,302,237,286,268,285,287
MRPL20,1002,1629,1336,1883,1570,1552,1143,949,1129,1075,1304,1324
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD65,0,0,0,0,0,0,0,1,2,5,3,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,15,14,16,29,19,29,20,7,14,72,21,22
ATAD3C,2,3,0,1,2,0,1,3,6,2,3,1
ATAD3B,636,608,734,1552,1316,1217,612,484,690,377,578,660
ATAD3A,1030,1512,1350,2069,1759,1759,1328,1175,1303,1073,1222,1260
TMEM240,25,25,25,29,11,24,22,29,46,52,59,65
SSU72,2830,4546,3400,4050,3747,3406,3150,3042,2991,2792,2901,3082
FNDC10,0,0,0,0,1,0,22,37,28,74,56,52
MIB2,182,189,243,342,314,320,901,669,998,742,907,751
MMP23B,2,2,0,2,0,1,2,0,3,1,2,3
CDK11B,573,969,767,815,706,785,739,641,813,648,812,706
SLC35E2B,619,1488,1044,486,925,767,650,502,488,574,487,516
CDK11A,27,18,29,21,17,16,22,10,23,22,16,29
NADK,800,1476,1261,1100,1270,1189,1140,994,1030,1001,1011,1093
GNB1,2984,4928,4763,6502,7625,7829,7408,6055,8637,11806,11893,12625
GNB1-DT,3,12,4,3,5,2,6,1,2,4,0,4
CALML6,0,0,0,1,0,0,0,0,4,4,2,1
TMEM52,3,4,2,14,15,8,4,1,2,3,4,3
CFAP74,4,0,3,0,0,1,0,0,0,0,2,0
GABRD,0,1,0,0,0,0,0,0,1,1,0,1
PRKCZ-DT,4,6,6,0,4,0,0,0,0,0,0,0
PRKCZ,221,495,395,216,276,317,36,29,36,129,75,62
PRKCZ-AS1,14,14,33,29,39,24,10,19,24,35,23,13
FAAP20,738,1013,911,1162,921,894,737,611,802,898,955,980
SKI,531,1234,837,536,836,772,1637,1290,1394,1495,1346,1547
MORN1,75,185,146,116,154,121,79,59,58,55,53,93
RER1,1537,2509,1978,2121,1779,1596,2757,2645,2931,2680,3021,2863
PEX10,331,654,561,237,235,251,393,347,329,270,278,302
PLCH2,20,11,15,36,32,44,0,7,7,9,11,1
PANK4,341,464,459,400,404,409,562,519,554,584,642,685
HES5,0,0,0,0,0,0,3,7,3,6,5,8
TNFRSF14,0,0,0,0,0,0,406,369,383,330,284,264
PRXL2B,138,216,195,304,307,315,624,469,595,724,727,875
MMEL1,0,0,0,0,0,0,0,0,0,0,1,0
MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,16,29,13,11,19,21,12,1,3,4,5,2
ACTRT2,0,0,0,0,0,1,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0,0,0,0,2,1
PRDM16,0,1,0,1,0,0,1,1,0,0,1,0
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,773,1136,890,799,757,782,0,0,0,0,0,0
MEGF6,3,17,14,20,18,12,1,0,0,4,0,0
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,1108,2228,1268,820,925,901,2109,2005,1822,2004,1781,2049
WRAP73,462,696,567,555,483,500,335,279,325,251,372,300
TP73,1,4,1,0,2,1,2,0,1,0,0,0
TP73-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,0,1,1,0,1,5,0,0,0,0,0,0
SMIM1,15,24,21,45,20,31,0,1,3,4,1,1
LRRC47,766,1400,1128,1086,1308,1245,1033,943,998,965,972,1034
RN7SL574P,2,2,3,2,1,0,3,0,0,0,2,0
CEP104,442,945,893,530,744,782,823,638,812,825,787,796
DFFB,68,129,127,166,206,180,69,55,81,63,74,78
C1orf174,560,958,781,607,627,640,488,437,479,408,471,440
LINC01134,28,50,37,71,96,97,10,3,7,4,10,4
LINC01345,0,0,0,0,0,0,0,0,0,0,2,0
LINC02780,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,372,901,554,899,1295,789,1,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,3,1,0,0,0,0,0,0,0,0,0
NPHP4,182,304,250,180,239,256,267,225,249,246,269,290
KCNAB2,92,194,142,92,108,68,122,120,135,179,144,129
CHD5,2,2,4,2,2,2,3,2,2,1,5,1
RPL22,660,1093,918,1449,1164,1077,1292,941,1509,1347,1540,1550
RNF207,118,188,162,188,248,178,13,6,7,18,17,5
ICMT,1065,1622,1713,1834,1906,2031,2232,1463,2393,2876,3330,3487
ICMT-DT,6,22,10,14,11,12,2,1,3,2,1,2
HES3,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,1,0,0,0,1,0,180,127,145,283,184,249
ACOT7,1472,2024,1972,1761,1347,1452,1290,1091,1567,1452,1805,1746
HES2,0,1,0,0,0,0,1,0,0,0,0,0
ESPN,1,14,4,0,0,0,0,0,0,0,1,0
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,2,4,1,5,1,11,16,4,23,29,39,18
PLEKHG5,7,3,7,19,14,12,82,34,77,154,110,142
NOL9,480,877,787,731,857,890,525,386,480,390,482,512
RNU6-731P,0,0,0,0,0,0,0,0,0,0,0,2
TAS1R1,0,1,0,0,2,1,1,0,0,0,0,0
ZBTB48,252,408,327,298,282,261,143,171,171,158,183,151
KLHL21,269,480,445,395,553,496,1356,1026,1280,1214,1223,1486
PHF13,677,1789,1266,827,1223,1043,746,574,702,845,767,802
THAP3,105,172,154,157,135,129,228,218,278,288,327,232
DNAJC11,624,1357,1072,572,879,846,946,742,714,644,622,718
CAMTA1,565,1072,809,984,837,896,720,551,735,872,898,874
RPL37P9,0,0,0,1,0,0,0,0,0,0,0,0
CAMTA1-AS3,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0,0,0,0,0
VAMP3,1619,3062,2259,1809,1710,1691,2752,2554,2671,2912,2828,2965
PER3,120,278,197,72,117,119,215,114,160,144,151,179
UTS2,35,59,36,39,38,29,0,0,0,0,0,0
TNFRSF9,1,2,2,1,1,3,1,0,1,3,0,0
PARK7,3463,5299,4605,5732,4626,4643,4233,4125,4875,4564,5044,4790
ERRFI1,1500,2651,2370,2429,3339,2944,1083,1037,1239,771,934,1071
LOC100129776,2,0,0,0,2,0,0,0,0,0,0,0
RNU1-7P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0,0,0,0,0,0,0
SLC45A1,0,0,0,0,0,0,13,7,10,10,2,11
RERE,589,1270,924,524,838,714,1205,867,1196,1114,1057,1089
LOC124900452,0,0,0,1,0,0,0,0,0,0,0,0
RPL7P11,0,0,1,0,0,1,6,0,0,0,0,0
RPL7P7,1,2,1,1,0,0,0,0,0,1,0,0
RPL27P3,4,2,1,2,2,0,0,0,1,0,0,0
ENO1,24386,35362,33470,43150,43492,43378,32022,28376,33141,26243,32767,35475
MIR6728,1,1,1,0,0,0,0,0,0,0,0,0
ENO1-AS1,5,8,14,4,5,1,1,0,0,0,1,0
RNU6-304P,1,1,0,0,0,1,0,0,0,0,0,0
CA6,0,0,0,0,0,0,8,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,1,0,0,0,0
SLC2A5,0,0,0,0,0,0,1,1,0,0,2,4
LOC124900441,0,0,0,0,0,0,0,0,0,0,0,0
GPR157,4,16,16,47,61,47,385,334,481,412,444,439
MIR34AHG,0,0,1,1,1,0,369,241,495,313,588,767
MIR34A,0,0,0,0,0,0,0,0,0,0,0,0
LNCTAM34A,0,0,0,0,0,0,71,63,57,87,86,63
H6PD,319,623,490,337,554,483,1746,1213,1625,1883,1855,2254
SPSB1,247,398,339,275,272,264,555,373,713,405,729,747
LINC02606,17,51,22,6,12,21,14,11,11,20,17,11
RNA5SP40,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,465,825,686,677,591,591,258,230,426,238,337,280
RPL9P11,2,3,12,5,3,7,1,3,2,1,3,0
TMEM201,200,309,361,776,866,838,316,194,381,269,423,483
PIK3CD,9,8,10,5,8,14,577,442,517,517,468,490
PIK3CD-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS2,1,0,0,0,0,0,11,15,5,13,19,6
CLSTN1,2416,5256,4300,3246,5183,4873,4482,3815,4186,5536,4295,4552
CTNNBIP1,202,340,260,312,286,240,529,526,475,441,492,476
LZIC,414,884,692,524,505,567,632,681,638,549,527,545
NMNAT1,197,430,378,216,247,240,270,315,282,319,277,275
TMEM274P,0,0,0,1,0,0,0,2,1,0,1,0
MIR5697,0,1,1,0,0,0,0,0,0,0,0,0
RBP7,0,1,0,0,0,0,3,10,6,12,8,5
UBE4B,1146,2724,1840,821,1174,1210,1367,1225,1226,1207,990,1010
RPL21P21,0,0,0,0,0,1,0,0,0,0,0,0
PGAM1P11,0,1,0,0,1,0,0,1,0,0,0,0
RNU6-828P,0,1,2,0,0,0,0,0,0,0,0,0
KIF1B,828,2374,1675,576,1008,1054,1582,1380,1300,1640,1310,1513
RNU6-37P,2,2,1,1,1,3,0,3,3,2,0,0
RN7SL731P,0,0,0,0,0,0,0,0,0,0,0,0
PGD,2690,4885,3682,2701,2771,2708,9622,11998,8770,4877,5284,4539
CENPS-CORT,3,1,2,2,13,2,0,0,2,1,0,0
CENPS,65,127,115,124,92,72,43,37,55,42,54,50
CORT,18,15,5,18,10,9,3,3,3,3,5,0
DFFA,1219,1888,1923,2547,2437,2504,1379,1281,1492,1341,1453,1448
PEX14,609,1088,800,664,653,605,698,549,544,546,562,627
RN7SL614P,0,1,2,0,0,1,0,1,0,0,0,0
CASZ1,13,18,34,13,33,27,37,18,25,15,18,21
HSPE1P24,0,0,0,0,0,1,0,0,0,0,0,0
CIROZ,0,0,0,0,0,0,0,0,0,0,0,0
TARDBP,1264,2287,2352,2632,2542,2862,1786,1664,2063,1768,1959,1820
MASP2,13,29,10,12,9,16,21,21,15,8,17,16
SRM,1356,1785,1719,3331,2709,2740,2055,2004,2566,2228,2729,2641
EXOSC10,989,1530,1419,1111,1379,1515,1277,848,1248,905,1229,1310
MTOR,1773,4332,3280,1183,2058,2238,1789,1394,1434,1310,1252,1333
MTOR-AS1,0,0,1,0,1,0,0,0,0,0,0,0
ANGPTL7,1,0,0,1,0,0,0,1,1,0,1,0
RNU6-291P,0,0,0,0,0,0,0,0,0,0,2,0
UBIAD1,301,535,456,444,412,483,408,296,448,279,381,399
MTCYBP45,0,0,0,0,0,0,0,0,0,0,0,0
DISP3,0,0,3,0,0,2,0,0,0,0,0,1
LINC01647,1,3,2,4,2,1,0,0,0,0,0,0
FBXO2,2,6,5,9,9,7,2,5,4,8,6,6
FBXO44,60,89,142,225,184,232,167,129,161,238,196,270
FBXO6,2,5,1,1,4,6,59,64,54,132,86,79
MAD2L2,568,820,717,796,640,654,693,585,844,638,886,748
DRAXIN,0,0,1,0,0,1,0,0,0,1,0,0
AGTRAP,697,1113,873,1090,894,832,586,575,497,496,454,498
C1orf167,0,1,0,0,4,0,0,0,0,1,0,0
C1orf167-AS1,0,0,0,0,0,0,0,0,0,0,0,0
MTHFR,138,312,277,185,361,303,253,182,182,237,217,243
CLCN6,204,371,283,142,180,196,440,314,420,392,405,312
NPPA,0,1,1,0,0,1,5,4,3,1,0,4
NPPB,0,0,0,0,0,0,1,3,2,1,1,0
SBF1P2,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-4P,1,1,0,0,0,2,0,0,0,0,0,0
KIAA2013,1533,2514,2072,2228,2205,2231,1829,1642,1931,1992,1818,1882
PLOD1,1357,1972,2086,2256,2905,3001,7281,6145,8160,9636,9090,9347
MFN2,1759,4438,3367,1548,2559,2673,2952,2523,2679,2498,2380,2598
MIIP,483,647,555,778,649,612,377,333,490,415,432,397
MIR6729,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL649P,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF8,0,1,1,0,2,1,0,0,2,1,6,2
RNU6-777P,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP89,0,0,0,0,0,0,0,0,0,0,0,0
MIR7846,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1B,1,0,0,0,0,0,1080,1162,754,819,599,734
MIR4632,0,0,0,0,0,0,1,0,0,0,0,0
RPL10P17,0,0,0,0,0,0,0,0,2,0,0,0
LOC124900427,0,0,0,0,0,0,0,0,0,0,0,0
VPS13D,302,977,782,199,454,418,999,731,777,767,639,720
SNORA59B,5,1,0,1,0,1,1,2,1,1,2,4
LINC02766,1,0,0,0,0,0,0,0,0,0,0,0
DHRS3,431,887,620,553,903,535,6,2,13,7,13,5
RNU6ATAC18P,0,0,1,0,0,0,0,0,0,0,0,0
MIR6730,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0
CFAP107,0,0,0,2,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,1,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,0,2,2,2,2,1,2,1,2,1,1,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1072P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF28P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0,1,0
HNRNPCL3,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,1,0,0,0,0,0
HNRNPCL2,0,1,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF31P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-771P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0,0,0,1,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,1,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984918,0,0,0,0,0,0,0,0,0,0,0,0
PDPN,0,0,0,0,0,0,0,0,0,0,1,0
RNA5SP41,0,0,0,0,0,0,0,0,0,0,0,0
LOC124900446,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,367,978,681,306,453,463,553,434,511,521,521,494
KAZN,714,1251,1189,1409,1855,1526,942,752,851,851,957,884
RNU6-1265P,0,0,0,0,0,0,0,0,0,0,0,0
KAZN-AS1,0,1,1,1,0,0,0,0,0,0,0,0
TMEM51-AS1,26,36,26,20,20,22,4,0,1,1,1,2
TMEM51,248,391,377,540,512,502,553,422,655,411,568,480
TMEM51-AS2,0,2,0,0,0,1,0,1,0,0,4,3
FHAD1,5,1,1,8,9,16,0,0,0,0,1,0
FHAD1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC124903852,0,1,3,3,0,2,2,0,0,0,0,4
EFHD2,406,662,582,1111,1070,1006,1396,1224,1271,1492,1434,1824
CTRC,2,1,1,2,4,2,0,1,5,0,1,0
CELA2A,0,0,1,0,0,0,0,0,0,0,0,0
CELA2B,1,6,0,0,0,1,0,0,0,0,1,0
CASP9,136,355,214,217,236,230,119,111,105,128,114,131
DNAJC16,301,757,515,478,732,693,449,396,418,482,449,419
SCARNA21B,0,0,0,0,0,0,0,0,0,0,0,1
AGMAT,11,16,7,8,6,12,23,17,21,20,26,39
RNU7-179P,0,0,0,0,0,0,0,0,0,0,0,0
DDI2,560,1459,1110,569,959,977,870,701,726,455,512,673
RSC1A1,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHM2,991,1903,1419,1148,1586,1370,3290,2863,3015,2376,2522,2489
SLC25A34,17,21,10,15,17,11,20,12,15,13,23,9
TMEM82,0,0,0,0,0,0,0,0,0,0,0,0
FBLIM1,38,53,43,43,35,26,1561,1187,1567,1701,1632,1800
UQCRHL,16,27,16,7,12,5,44,40,41,35,57,37
RPS16P1,2,5,0,1,2,2,2,0,2,2,5,2
SPEN-AS1,27,51,46,79,53,62,55,41,52,42,55,49
SPEN,1067,2780,1898,670,1277,1454,1360,898,1041,898,941,1170
ZBTB17,204,337,339,268,305,308,580,539,533,549,485,576
SRARP,0,0,0,0,0,0,0,0,0,0,0,0
HSPB7,0,0,0,0,0,0,14,23,3,42,6,11
CLCNKA,0,0,1,0,0,0,2,0,0,0,2,0
FAM131C2P,0,0,0,0,0,0,1,0,0,0,0,0
CLCNKB,0,3,0,0,1,3,1,0,5,0,0,0
FAM131C,0,0,1,1,2,1,17,11,13,15,7,17
EPHA2,2764,4185,4018,3971,4982,5316,2457,2071,2371,2001,2075,1976
ARHGEF19,2,1,6,7,11,6,134,84,156,123,166,94
CPLANE2,44,82,73,36,58,55,67,76,67,72,61,57
FBXO42,368,731,602,441,509,496,476,380,499,459,462,449
SZRD1,1685,3529,2702,1734,2021,2014,4300,3579,3530,3317,3270,3726
RPL22P3,0,2,1,1,2,2,0,2,2,0,0,0
SPATA21,0,2,1,2,2,1,1,2,0,1,0,0
NECAP2,963,1824,1267,959,965,986,1795,1667,1707,1756,1675,1844
LINC01772,3,12,6,15,12,10,7,9,14,18,23,20
CROCCP3,29,33,54,67,63,57,50,52,44,78,59,50
RNU1-1,0,0,0,0,1,0,0,0,0,0,0,0
LINC01783,0,3,2,0,0,1,0,0,0,0,0,0
RNU1-6P,0,0,0,0,0,0,0,0,0,0,0,0
NBPF1,368,840,745,560,881,822,887,563,807,681,777,895
RNU1-3,0,0,0,0,0,0,0,0,0,0,0,0
LOC124903859,2,7,3,7,1,2,0,0,0,0,0,0
CROCC,187,333,295,235,232,295,557,474,575,512,527,542
CROCCP4,0,3,4,1,7,3,0,0,0,0,0,0
RNU1-4,0,1,0,0,0,0,0,0,0,0,0,0
MST1L,13,14,8,13,11,13,3,0,2,1,7,0
MIR3675,0,0,0,0,0,0,0,0,0,0,0,0
LINC03126,2,9,5,0,4,4,0,4,0,1,0,0
RNU1-5P,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376805,0,0,0,0,0,0,1,2,3,2,2,1
LOC107985101,0,0,0,0,0,0,1,0,0,0,0,2
RNU1-2,0,1,0,0,0,0,0,0,0,0,0,0
MFAP2,1,0,0,0,0,0,332,320,407,664,587,503
ATP13A2,748,1278,1023,834,948,1093,1424,1286,1160,1170,1033,1208
SDHB,1296,2021,1861,2595,2286,2047,1442,1269,1502,1444,1731,1635
PADI2,235,295,313,335,382,288,45,5,39,86,133,105
LINC02783,7,3,12,33,42,22,43,11,48,37,58,43
PADI1,206,215,279,410,484,457,63,34,51,63,80,41
PADI3,150,136,260,146,214,168,1,0,1,0,0,0
MIR3972,0,0,0,0,0,1,0,0,0,0,0,0
PADI4,0,2,1,1,2,7,0,0,0,0,0,0
PADI6,0,0,1,0,0,0,0,0,0,0,0,0
RCC2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RCC2,3089,6688,5132,3399,4632,4130,2049,1780,1859,1467,1612,1573
ARHGEF10L,174,437,329,245,340,287,416,298,333,333,337,370
LINC02810,0,0,0,1,0,0,0,0,0,0,0,0
ACTL8,89,132,128,276,347,273,2,2,0,0,4,1
LINC01654,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC7A,259,673,378,221,356,322,0,0,1,0,0,0
PAX7,0,0,0,0,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0,0,0,0,0
ALDH4A1,229,470,291,245,260,272,189,187,144,165,173,179
MIR4695,0,0,0,0,0,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0,0,0,0,0,0,0
IFFO2,8,12,15,31,40,35,1193,1109,813,687,641,764
UBR4,1991,5655,4750,1559,3700,4411,4542,3338,4008,3570,3543,3486
EMC1-AS1,6,20,10,3,7,2,13,6,10,3,4,2
EMC1,1431,2810,2249,2217,2972,2948,2441,2233,2390,2637,2221,2375
MRTO4,1460,2195,2151,3195,2738,2814,2015,1760,2026,1463,2048,2225
AKR7L,6,10,8,13,19,5,4,3,8,8,10,3
AKR7A3,5,10,5,9,6,5,9,5,9,6,8,14
AKR7A2,764,1389,1098,1012,907,899,1038,1075,1044,1077,1087,1038
RNU6-1099P,1,0,3,0,3,0,3,0,0,0,0,0
SLC66A1,293,536,435,459,526,489,530,402,495,371,510,449
CAPZB,2289,4732,3565,3369,3269,3170,5651,5288,5694,5892,5794,5742
MICOS10,66,123,102,181,129,110,114,93,81,109,133,162
RNU4-28P,0,0,0,0,0,0,0,0,0,0,0,0
MICOS10-DT,0,0,0,1,2,1,1,0,0,0,0,0
NBL1,5,5,7,10,3,12,1856,1811,2008,2268,2206,2397
HTR6,0,0,1,0,0,1,0,0,0,0,0,0
TMCO4,370,633,525,353,451,442,348,235,259,377,270,299
RNF186,0,0,0,0,0,0,0,0,0,0,0,0
RNF186-AS1,0,0,0,0,0,0,0,0,0,0,0,0
OTUD3,236,571,441,233,309,354,399,285,329,265,300,326
PLA2G2E,0,0,1,0,1,0,0,0,0,0,0,0
RN7SL304P,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,0,0,3,0,0,0,0
PLA2G5,0,0,0,0,0,0,0,2,0,0,0,0
PLA2G2D,0,0,0,0,0,0,0,0,0,0,1,0
PLA2G2F,0,0,0,0,0,0,0,0,0,0,1,0
LOC117779438,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0,0,0,0,0
UBXN10,0,0,0,0,0,0,0,0,0,0,1,0
LINC01757,0,0,0,0,0,0,0,0,0,0,0,0
VWA5B1,0,0,0,0,0,0,0,0,0,0,0,0
LOC124903871,1,0,0,2,0,1,0,0,0,0,0,0
CAMK2N1,992,2024,1280,716,522,488,982,545,939,895,1171,1418
MUL1,447,793,713,603,732,684,836,637,720,807,715,928
RPS4XP4,0,0,1,0,0,0,0,0,0,0,0,0
FAM43B,0,0,0,0,0,0,0,0,0,0,0,0
CDA,0,2,2,1,3,5,273,324,215,420,265,327
PINK1,109,234,207,137,209,166,757,524,576,757,637,709
